type,mouse,strata,control_cells,injured_cells,injury_difference
1,Tmem200a,2,537,85,-0.14269608226070074
1,Srpx2,2,537,85,1.1890847592532099
1,Tgfbr3,2,537,85,-0.4891435906525825
1,Slc44a5,2,537,85,0.8254859728419917
1,Sdk1,2,537,85,1.3405299809449378
1,Cav2,2,537,85,0.0362866500246084
1,Tmem144,2,537,85,0.3969278557418701
1,Rbms3,2,537,85,-0.44857213040107746
1,Hfe,2,537,85,-0.19901415079447066
1,Brinp1,2,537,85,-0.8621562899165289
1,Vegfc,2,537,85,-0.21642825849928315
1,Itga7,2,537,85,-0.26230071111698866
1,Shroom3,2,537,85,0.0
1,Ddx60,2,537,85,0.4782597480179813
1,Kbtbd11,2,537,85,0.3371646749719375
2,Opn4,2,461,690,0.45338240030058596
2,Rasgrp1,2,461,690,0.024357580524211414
2,Prkcq,2,461,690,-0.18782240879300396
2,Gldn,2,461,690,2.6151236669562454
2,Ndnf,2,461,690,0.9794237061834143
2,Ctxn3,2,461,690,-0.2684797629436233
2,Gdf6,2,461,690,0.11524575963659058
2,Eomes,2,461,690,0.7109190679350852
2,Ifitm10,2,461,690,2.6105994269753694
2,Igf1,2,461,690,3.9539977800644968
2,Cd24a,2,461,690,5.1130882416986925
2,Man1a,2,461,690,1.3618356959041744
2,Vat1l,2,461,690,-1.6672738377581628
2,Tbx20,2,461,690,-0.2751268733156974
2,Ptprt,2,461,690,1.021452038058184
2,Tmem255b,2,461,690,-0.23087414554579547
2,Dmrtb1,2,461,690,0.2145906108383236
2,Parm1,2,461,690,-1.7170719330476567
2,Dgkg,2,461,690,-0.08516363413058514
2,Prph,2,461,690,-0.45523770249277407
2,Plekha2,2,461,690,0.28320091913243695
2,Nppb,2,461,690,0.4189781277808813
2,Vim,2,461,690,4.51054985412584
2,Enpp2,2,461,690,0.1289351635419166
2,Igfbp2,2,461,690,1.1252045686190608
2,Rgs10,2,461,690,-2.1343821346889436
2,Mgll,2,461,690,-4.361518631219825
2,Phgdh,2,461,690,2.374234085030816
2,Mei4,2,461,690,0.17382541673944907
2,Lmo1,2,461,690,0.21017235910565635
2,Myo1b,2,461,690,-1.7087788172314062
2,Pdzd2,2,461,690,0.23993417518071336
2,Lamb1,2,461,690,-1.6021500889855553
2,Rbpms2,2,461,690,-2.77444343463896
2,Nell2,2,461,690,-1.5383013629004818
2,Plch2,2,461,690,-2.0874618598757055
2,Lrrc7,2,461,690,-0.08440409664205095
2,Calb2,2,461,690,-3.3682702245184784
2,Hpcal1,2,461,690,-2.1828160124324216
2,Rxrg,2,461,690,-2.93208978772664
2,Kcnj5,2,461,690,-1.8191061723715871
2,Alcam,2,461,690,-1.9243066191274592
2,Nfe2l2,2,461,690,0.2528424843496424
2,Ptn,2,461,690,-0.8243924121441517
2,Bcl11b,2,461,690,-1.6332544360660914
2,Aldh2,2,461,690,-0.8330477868203965
2,Klc3,2,461,690,-0.40267756931985343
2,Crtac1,2,461,690,-2.909964532621225
2,Neurod1,2,461,690,0.0
2,Dpysl4,2,461,690,-0.21215401482437235
2,Gnai1,2,461,690,-1.1078247150562106
2,Chrnb2,2,461,690,-1.2439770993152053
2,Dlgap1,2,461,690,1.027057930841532
2,Dtx3l,2,461,690,2.216701069950455
2,Lpar1,2,461,690,0.7684422811767402
2,Pdlim5,2,461,690,0.7056077254359582
2,Etl4,2,461,690,0.5653124930718402
2,Fgf18,2,461,690,0.0
2,Man1a2,2,461,690,0.2912105604066757
2,Igfbp5,2,461,690,-0.7186943653633272
2,Il1rapl2,2,461,690,1.1125011277933141
2,Irx1,2,461,690,-0.23087414554579547
2,Slc16a2,2,461,690,0.14889058838833416
2,Ostf1,2,461,690,0.7678479624910617
2,Ksr1,2,461,690,-0.11187951726167733
2,Slc7a8,2,461,690,-1.2119390256021405
2,Kcnc4,2,461,690,-2.0284351648582217
2,Tmem200a,2,461,690,0.5140750646782324
2,Srpx2,2,461,690,1.8275560624070817
2,Tgfbr3,2,461,690,1.054204969710606
2,Slc44a5,2,461,690,0.8111876277637047
2,Sdk1,2,461,690,-0.004989278914441009
2,Cav2,2,461,690,0.6551913991525506
2,Tmem144,2,461,690,0.8204369769303123
2,Rbms3,2,461,690,0.15280048029856808
2,Hfe,2,461,690,1.4013224346340412
2,Brinp1,2,461,690,-1.1183281938258576
